hackermans	fast typing on the on-screen keyboard	: ~! (p AvGr3EAp0qI 18:22); this is ~, dude, I’m typing like five words per minute (p d1YGQSy0XAs 11:46)	; (rays) to use the program	: I’m gonna go ~ on this (r qRTH8N78YRE 6:43)	> program										
haircut	said when the sprites of an enemy and the player shave past each other, while they do not interact because their hitboxes don’t touch	: I got a ~ right there (p 70lmm1TsGvE 7:15) (p vvh2Oo9ds6c 4:29); I gave it a ~ (p 8DeYjI8B5KY 19:48); I think Luigi just got a ~ by those things (r FZBHEd99nrE 0:43)													
Happy Meal	Propeller Box	: we get to play as a ~; ~ time; ~ for the fans (r XTNATMnFbLI 9:13)													
heck	exclamation of frustration	: ~! (p AD7Fx9TCPYM 7:30)	> D-colon												
hello lois	a former low-effort level creator who makes levels with memes, such as Family Guy and Among Us														
hold-right simulator	> hold-righter	: ~ (r 5KHb2MS-vQE 9:00), here we go (r IisH5nDAZts 8:33); hold-right action; hold-right adventure	;: hold-left action	said when there’s a part where you hold left in a mostly hold-right level	;: hold-down simulator (r XTNATMnFbLI 4:15)	a section where you only need to hold down									
hold-righter	a level where holding right and dashing is a constant, disregarding the jump and Z buttons	: that’s not a ~! (p 5aNKsVWCudQ 2:14)													
holeage	cleanly going through a narrow gap	: ~! (p 88YCdFznRk0 14:40); first-try ~; I ~d when I didn’t want to (p oand8mvTPPo 5:41); how did I ~ that? (p q8NkKbaWoSA 20:16); why is ~ so hard, man (p AD7Fx9TCPYM 1:50)	> thread the needle												
holy buckets	(rays) an exclamation of amazement	: we made it happen, ~, dude (r _9PX14ln4jk 11:00); I’m gaming, dude, ~ (r xlI1j2d9VJA 1:40)													
homie	: ~ 1-Ups; the pre ~ 1-Up (p rD_lxY6w3Go 17:57)	three 1-Ups as a courteous gesture towards players for when the level appears in an Endless run	> juice	;: ~s; ~ comments; it’s for the ~s (p AvGr3EAp0qI 18:24)	courteous players, and the comments they make, exposing or explaining hidden or complicated level elements, such as dev routes or dev blocks	> dev									
hops	when a Koopaling or Bowser Jr. has the hops, they jump high, or they dodge attacks by hopping back and forth	: he’s got the ~; Iggy’s got the ~ (p aykk1MWxpmo 34:28); Ludwig’s got the ~ (p kY3N3FwDE1M 17:37)	> juke; James Harden												
hot cakes	> dropping														
hot garbo	> garbo														
huge	a big development	: this is ~	; Big Mushroom	> chonky; thicc; wide											
I can’t believe you’ve done this	exclamation of disappointment; referencing a popular YouTube video	: ~! (p rD_lxY6w3Go 15:41) (p AD7Fx9TCPYM 8:37)													
-ies	> -skies														
i-frame	the seconds of invincibility after taking damage	: ~ it! (r G36FVZjrhGE 33:23); wait, you can just ~ it (r IisH5nDAZts 1:28)	> i-frame Johnson												
i-frame Johnson	making use of i-frames to clear a section of a level more easily	: ~! (r G36FVZjrhGE 33:23); ~? (r heDOZqhGstU 17:12); he had the ~ on his side (p 88YCdFznRk0 20:53); ~ making an appearance (r 5KHb2MS-vQE 6:14) 	> i-frame; d-boost												
in shambles	when a situation is in shambles, it is unrecoverable, hopeless or disappointing	: everything is ~, dude; oh! it’s ~ (r MYbfAD9IQXI 20:51); we are ~ out here at Raysfire HQ (r SFoGw42eDIU 1:36)	> predicament; ovaries												
indicator	level elements, usually tracks or P-blocks, that indicate what the player should do in a situation where this isn’t immediately apparent	: good indication (p rD_lxY6w3Go 8:31)	> zee												
intel	intelligence; valuable information	: now we have the ~; we have ~ on this (r U54Q5Uvz7UY 4:00)													
invest	to obtain a feller; whenever the feller proves to be useful, its stocks are on the rise	> feller													
issues	: we’re having ~ here	we’re experiencing difficulties	> troubles												
Jack Black	Bowser; referencing his role in the upcoming Mario movie														
James Harden	Iggy; (also) other Koopalings when they hop backwards, dodging an attack from the player	: ~ step-back; not the ~s! (p AD7Fx9TCPYM 0:12); BJR fight? no, it’s ~! (p KlJDNTIOY8M 12:50)	> hops												
Japanese New Soup	> New Soup	: bro, that’s the fourth ~, most likely speedrun, level in a row (p cPPd4sjMlw0 20:24)													
jebait	tricked into doing something that has negative consequences	: I got ~ed so hard; major ~; you put it in a proper position to ~ people (p GB1KgH0iZGY 17:48)	> jebaiter												
jebaited	> jebait	: just kidding, I got ~ (p AD7Fx9TCPYM 14:50)													
jebaiter	a Thwomp with a parachute; its parachute only appears once it starts moving, forcing the player to guess whether it has one before riding on it, and causing them to overshoot their jump when it doesn’t	: ~? not a ~! (p -zJvRpVk0VE 16:12); now it’s a fun game of ‘is it a ~ or not a ~’ (p vvh2Oo9ds6c 11:26)	> jebaited												
jinx	to mess up	: I ~ed it (r rYZizIwWH6I 1:53); I ~ed myself (r 5rGSjMHHBaQ 8:48); I’m not gonna ~ it (p AD7Fx9TCPYM 8:30)	> scuffed												
Joseph	Twister	: right next to the ~ (r TgvkyP6P0w4 8:55); I need the ~ to get out of the way, he’s kinda hecking me, to be honest (r KvI6_nBsR3E 22:19)	> Blowey Joey; Bloseph												
joshed	tricked, usually into doing something useless or optional	: we got ~	> jebaited												
juice	1-Ups and coins	: we got the ~; they give you the ~ (p GB1KgH0iZGY 10:55); a little bit of some ~ (p PMitnCSeq9I 4:32); get some ~ while I’m here (p ViUIXNvZ6ig 10:34); there is no such thing as too much ~, always be on the hunt for more juice (r IisH5nDAZts 9:54)	> juicer	;: man-made ~ (p q8NkKbaWoSA 15:10)	1-Ups that the player has to care for themselves, e.g. by using some infinite 1-Up trick	; (rays) speed	: I needed a little more ~ there (r TgvkyP6P0w4 1:56)	> dip							
juicer	a level that gives three lives, usually in Endless	: three-life ~ (p cPPd4sjMlw0 6:59); anti-~ (p JVLAFSrpZQE 7:49)	> drainer	; a 1-Up or coin medallion	: ooh, we got the ~, dude, we picked up the cheeky 50-Coin (r D8bJcRWgv3o 3:57); I can get the ~ now (r D8bJcRWgv3o 9:23); the good news is, we have to get all of the ~, so this is a level for the fans (r 8QJZ2qEafnI 1:50)	; (rays) a key	: who has the key? I need the ~ (r IisH5nDAZts 14:34)	; (rays) a power-up	: I need the extra ~ (r I5eCiy8nau0 14:22)						
juke	intricate, impressive manoeuvres	: bringing out the ~s; has got the ~s; ~d (r g-ISK9A6ISk 10:00); we hit them with the ~s (p S-4MZN5gkB0 8:48); can I just ~? (r 8QJZ2qEafnI 9:40)	> schmove; hops												
jump for joy	jumping around to check for dev blocks systematically	: just gotta keep jumping for joy (p 8pI4Augf4dQ 1:09)	> dev												
ka	the Koopa Troopa Car in the Super Mario 3D World style; referencing the ‘I’m in my mum’s car’ video	: I guess I’ll take the ~ (p 6-oWq88SWOY 14:30)													
kaizo	a genre of level with many advanced tricks		; an invisible block	: ~ block; I got koizo blocked (p ASEJvOkZH8U 0:00); if you go in the claw, you get ~d (r 4WknIFAe-tg 12:30)											
key death	usually in troll levels, a death after collecting all pink coins, which results in losing the key, and discarding what has been saved with the checkpoint														
kinda nice with it	(rays) playing very well, playing cleanly	: Mario is ~ (r 9W5v23OYXLU 9:45); we’re kinda moving with it, dude, we’re ~, we’re kinda nice with the movement, we’re kinda schmoving on them (r I5eCiy8nau0 14:12)	> gaming; schmove												
L	(mp) the loss	: I’m gonna take the ~ here (p ugyIPJoPiP4 15:30); sometimes you gotta take the ~ (p U0fbf4ItXg4 4:28)													
lag spike	(mp) a sudden pause in the connection, making it hard to time button inputs	: ~ (r XTNATMnFbLI 3:07); all of us got ~d right there (p DG7FT1VRLp8 9:11)													
last-framer	a button input executed on the last possible frame	: oh! that’s a ~ (r g7scQdpY8Ms 1:23); that was like a ~ right there (r KvI6_nBsR3E 23:52)													
last-life clutch	clearing a level while only having one life left	> one-shot Johnson													
lefties	going left in a split path	: ooh, a lil ~? (p jUPAlhDr4jY 5:59)	> righties; top												
Lemmy’s balls	the bouncy balls that Lemmy can make; (also) Lemmy himself	: we get to play with ~; I don’t care about the skip, I care about ~, though (p KlJDNTIOY8M 17:38)													
lengther	a long level	: this is a ~, man (p 8RYG0HDB1ek 9:08); definitely a ~ (p O_fnDCJ_Iow 20:21)	> chonker; Coconut Mall												
life-farm	gaining lives by exploiting a combo	: ~ opportunity (p oand8mvTPPo 1:30)	> wombo combo												
Like	liking a level; if a level is well-designed, unique or creative, it tends to get a Like	> Meh; Boo; creative													
Link	: ~ tutorial; ~ level; ~ tutorial level	a long level which explains the moveset of the Master Sword power-up through lengthy and often tedious tasks, such as bomb excavations	> bomb excavation	; a level tag which is reserved for trash levels; it is an unspoken rule to tag a level as ‘Link’ if it is hot garbage and its creator allows people to change the tags of their levels	> garbo										
Link tutorial	> Link														
little Timmy	a chaotic, low-effort level with much thoughtless enemy and power-up spamming; implying that a ficticious young child created the level; usually contains dev power-ups	: ~ level; this is probably a ~ classic (r G36FVZjrhGE 31:27); that’s a certified ~ (p 8DeYjI8B5KY 10:00)	> dev; garbo												
longest level of my life	a long level	> five years													
Lonk	(rays) the Link power-up	: I have a ~ power-up now (r WaSYcAsN5-w 1:25)													
low-grav	low-gravity physics, in the sky night theme	: I have a feeling that my jump is gonna get absolutely destroyed in ~ (p 7cP8zrdNh2g 3:20)													
mad on the internet	very mad	> on the internet; madge													
madge	mad	: I am big ~ (p 5aNKsVWCudQ 12:56); they’re ~ (r SFoGw42eDIU 5:37)	> sadge												
malding	portemanteau of ‘mad’ and ‘balding: being so mad about something that your hair figuratively falls out	: I’m actually ~	> upset on the internet												
McDonald’s	a very slow internet connection, as if it were a public hotspot	: am I at ~ WiFi right now? (p U0fbf4ItXg4 0:05)	> chonky												
meatball	a fireball from a Fire Bro in the Super Mario 3D World style	: there’s too many ~s! (r 6wYESz2lxSw 11:40)													
Meh	an average level that neither gets a Like nor a Boo	: certified ~; we’ll give it a ~	> Like; Boo												
melee grabs	(mp) grabbing another player even though they desperately try to prevent this	: Todd’s got the ~!													
mid-air	a trick where you drop something in mid-air and jump on it	> drop													
moment	said when a notion characterises a situation	: a you-hate-to-see-it ~ (p ziQRvhamo98 44:39); big ~ (r b1i1PgV0IPU 20:35); big checkpoint ~ (r kJlr5SRyPMM 12:33); checkpoint ~ (r heDOZqhGstU 1:22); finagle ~ (r g7scQdpY8Ms 7:03); is this just a send-it ~? (r k9a_0Az_wUo 1:35); Boom Boom ~ (r KvI6_nBsR3E 9:07)													
Mrs. Puff	Porcupuffer; is the name of a SpongeBob SquarePants character	: ~ making an appearance (p JVLAFSrpZQE 19:54)													
mushed up	to have obtained a Mushroom	: I’m ~, though (p O7s4w4n9l8g 0:26)													
my-b	my bad; said when taking the blame for a mistake	: that was a ~ moment (p 88YCdFznRk0 17:09); this is definitely a ~ moment (p O_fnDCJ_Iow 0:08); that’s a ~ (p AD7Fx9TCPYM 15:50); ~, ~! (r b1i1PgV0IPU 1:49)	> moment												
naked pipe	a pipe of which the bottom isn’t covered with blocks, resulting in a harsh and ugly cut-off														
nannage	> nans	: straight-up ~ right there (p wDJ1osMUvP0 9:28); that’s some ~ right there (p 2_kagAau30g 16:55)													
nans	shenanigans; unfair or unexpected quirks, or weird tricks	: that’s some ~ (p wDJ1osMUvP0 9:28); we got some ~ going on (p 7cP8zrdNh2g 15:05); we’ll do some ~, always a fan of the ~ (p ziQRvhamo98 33:01); I’m gonna get nand here (p O_fnDCJ_Iow 5:13); I didn’t get a single life from this level, what is this, what are these ~? (p kY3N3FwDE1M 21:54)	;: I call ~ (p 0GfuIxuxYQk 15:25)	I’m blaming the level	; cheesing a level with shenanigans	: we’re kinda just ~ing this level (p kY3N3FwDE1M 13:40)	> cheese								
neko	Super Bell, cat suit; is ‘cat’ in Japanese	: we’ll be a ~ (p 16be7e22WkU 8:57); rip cat, ~ (p rD_lxY6w3Go 10:41)													
New Soup	the New Super Mario Bros. U game style	: Japanese ~; it’s always the ~s	a level with a Japanese title (or creator), referencing the fact that almost all Japanese levels are in this style	;: ~ speedrun, Japanese ~ speedrun (r g-ISK9A6ISk 2:59); it turned into a ~ speedrun level (p t5RfLFGTwa4 4:44)	a typical speedrun level consisting of tech like spin jumping on a row of Piranha Plants, dodging springboards stacked on clouds, and performing tight wall jumps and duck twirls	> tech; springboard; duck twirl									
nice with	> kinda nice with it														
noggin	head	: we used our ~ (p t5RfLFGTwa4 5:44); I think I just bopped my ~ (r kJlr5SRyPMM 8:09); I bumped my dang ~ (r b1i1PgV0IPU 20:45); I bonked my dang ~ (r bpeM_cqa1_4 11:08)													
nomegalul	saying ‘no’ to the level’s intended way to play; the omegalul emote can be used to replace the letter O because of its circular shape	: I’m just gonna say ~ and we’ll see you later (p oBJvRsDUfxU 3:28); we’re gonna say ~ to that pipe (p 8RYG0HDB1ek 7:37)	> omegalul; cheese												
note block	white blocks with a music note on them; movement on them is unpredictable, and improper timing can lead to a flaccid jump	: ~ (r UK0zzHK7ZsM 12:58)	> block; flaccid												
nut	Super Acorn	: we get to be ~; yo, we ~in’? (p HZaQ94mU6To 18:09) (p AD7Fx9TCPYM 12:54); we get to ~ upside down (p PMitnCSeq9I 6:49); we get to reach as ~ (p PMitnCSeq9I 6:49)	; (rays) said when accomplishing an impressive feat, followed by pressing the nut button	: ~! (r j_9FvsecRrk 13:42) (r k9a_0Az_wUo 6:23) (r bpeM_cqa1_4 29:19)	> nutter										
nutter	(rays) someone who is playing insanely well	: what a ~, dude; this guy’s a ~ (r k7UdvDZdCP4 1:30); I’m a ~, dude! (r PYtPjtCQ-dk 10:07); Luigi’s a gamer dude, he’s a ~ (r FZBHEd99nrE 4:19)	> nut; gamer												
omega	extremely, very much	: I’m actually ~ tilted (p ViUIXNvZ6ig 16:22); those comments are ~ distracting (p 88YCdFznRk0 0:36); we have to ~ think (p kY3N3FwDE1M 1:31)													
omegalul	said when something is very funny; is a Twitch emote	> omega; nomegalul													
on the internet	used as emphasis when describing emotions or actions	: I’m upset ~; we’re playing video games ~ here													
one-shot Johnson	completing a level on the first try; referencing the one shot needed to be fully vaccinated with the Johnson & Johnson vaccine	: ~ (p -zJvRpVk0VE 9:00); a lil ~ action; a lil ~ here (p rD_lxY6w3Go 5:27); rip the one-shot (p rD_lxY6w3Go 5:35); we have to get the ~ out; you know what that means: ~ coming out (p U0fbf4ItXg4 13:55); this looks like a job for ~ here (p U0fbf4ItXg4 15:40)	> two-shot Pfizer; last-life clutch												
onion rings	the ring-shaped projectiles shot by Wendy	> Wendy’s four-for-four													
optimal	advantageous, the best possible outcome; (usually) fast	: nice, ~ (r heDOZqhGstU 0:00); ~ gameplay right there (r 8QJZ2qEafnI 8:12); that’s almost perfectly ~ (r 8QJZ2qEafnI 17:13); oh, we got ~ zoomage! (r bpeM_cqa1_4 7:34); not even ~, but ~, you know what I’m sayin’? (r bpeM_cqa1_4 16:14); do they just have ~ twirlage? (r 6wYESz2lxSw 6:40)	> calculated; tactical; clinical; strat												
orb	the top of the flagpole	: the ~! (r WLZWPJQ9IuI 27:04); ~ acquired (r 8QJZ2qEafnI 9:01); it’s a juicer, and we get the ~, the ultimate victory (r 5rGSjMHHBaQ 6:11); you have the perfect height for the ~ (p q8NkKbaWoSA 10:37)													
orbie	> orb	: a lil ~ (p HHWaNzajseE 4:25); we got some ~s (p Rqr6SpJYjt8 14:19)													
our boi	a (Spiny) Skipsqueak; Panga tries to keep them alive where possible, and sees it as a tragedy when they have to be murdered	: ~ gets to live; ~ is vibing; ~ making an appearance (p GB1KgH0iZGY 5:30); we’re gonna use ~ for science here (p aykk1MWxpmo 26:33)	> Alabama beach mouse												
ovaries	: it’s ~ (p 88YCdFznRk0 4:36) (p DG7FT1VRLp8 21:09)	it’s over	> gg; -ies												
over-indication	when a level has too many indicators, even in places where it’s obvious what to do, which leads to the screen being cluttered	> indicator													
overdip	(rays) to overshoot a target	: we ~ed, dude!; he overshot it, I think Luigi ~ed, man, he needed the recon chip, but it was too late (r 3vih4ac3f_c 11:48)	> dip												
Panga	PangaeaPanga														
pause-buffer	repeatedly pausing and unpausing to get some time to assess a situation and react accordingly	: ~ strats	;: ~, fire flower (p KohgQ4YCQu0 6:25)	a trick in the Super Mario Bros. 3 game style: pausing until the fire flower shows up in the goal box, then unpausing and immediately jumping to consistently get a 1-Up											
pepega	an idiot; referencing a Twitch emote	: I’m a ~ (p rhQTIT8WDaQ 10:37); or I’m just an idiot (p 9qibjmzGFX0 20:40)													
perfect stairs	jumping on stairs without losing any momentum	: ~, ~, ~, ~, ~? (p WS_167XY-u0 16:56)	> flaccid												
perish	to die	: I almost ~ed (p kY3N3FwDE1M 21:05)	; to kill	: can you just come here, so I could ~ you somehow? (p 4bh5npaJI9I 3:45)											
pick-a-path	a frowned-upon level element that presents a number of paths to take, of which only one leads to progress, and the rest to death; which one is the correct one, is unpredictable, but it’s often the penultimate option 	: pick-a-door; pick-a-pipe; they’re throwing in the ~	> garbo												
piggie	the Oink sound effect; occurs as a task in bingo	: yo, ~? (p ewQjWBtLMBQ 17:50)	> bingo												
pixel art	raster images created using course parts in different colours, usually to make a level thumbnail interesting														
planted	hit by a Piranha Plant suddenly coming out of a pipe	: I’m surprised we didn’t get ~ there (p jUPAlhDr4jY 7:07); oho! he got ~ (r 3vih4ac3f_c 6:55)													
playing video games	playing very well	: I’m ~ (p O7s4w4n9l8g 15:47); we’re ~ on the internet; hold on, wait a minute, this guy’s ~ (p S-7EBh6rmQc 12:31)	> gaming; schmove												
PlayStation wizard	(usually plural) Magikoopa	: the ~ (p XTNATMnFbLI 18:40); not the ~s! (p kY3N3FwDE1M 5:28)													
Pom Poms in your area	Pom Pom	: local ~; you gotta throw in the Bum Bum and the ~? (p kY3N3FwDE1M 7:07)                    	> Bum Bum												
POW drop	> drop	: I’m bad with ~s (p cPPd4sjMlw0 5:15)													
power-up level	(rays mp) a level in which obtaining a power-up is worthwhile; that is, the advantage of being able to take more risks outweighs the time loss of getting the power-up	: seems like a ~ (r D7xdB_HHFTM 1:26) (r 7Rayd5yokRs 12:33) (r SFoGw42eDIU 0:10); you know why we’re in the lead now? I’ll tell you: because this is a ~ (r SFoGw42eDIU 0:48)													
PowerPoint presentation	(mp) said when the frame rate is very low, as if it were a slideshow	: what is with this ~? please move to the next slide (p bOJf3h8KUxY 5:00)													
predicament	an inconvenient situation	: this is looking like a ~ (p 5LFA2f7uMd0 5:25); this is a ~ (p ziQRvhamo98 31:41)	> shambles												
prego	the lava in castle-themed levels; sometimes the poison in jungle-themed levels, though this is debated (p Rqr6SpJYjt8 12:57)	: ~ sauce; the ~ is rising (p 88YCdFznRk0 4:49); I think we just race the ~ (p oBJvRsDUfxU 0:20); we’re getting pasta-sauced, got the ~ (p U0fbf4ItXg4 3:11)	> grape												
program	the level viewer application, which allows you to see the entire level layout; usually to find dev blocks, or the right path in a pick-a-path (p XbfFHbXPduU 1:43)	: certified ~ level (p d1YGQSy0XAs 5:14); this one is definitely a ~-certified level (p 8pI4Augf4dQ 1:09); extremely stupid, but not ~ stupid (p ViUIXNvZ6ig 15:11)													
progressive	a power-up that’s a Mushroom if the player is small, and the actual power-up otherwise	: now I got a Fire Flower, ~ (p AD7Fx9TCPYM 8:05)													
proper capitalization	title casing in a level name; Panga postulates that these levels will more likely be good because the creator already put effort into the title	: okay, alliteration and ~, it has to be good (p q8NkKbaWoSA 12:52); the signs of a good level usually are ~ (p O_fnDCJ_Iow 0:00); you see right there, you see that ~? watch (p AD7Fx9TCPYM 2:11)	> creative; formula												
pure domination	(mp) dominating a match	: that was in fact ~ (p DG7FT1VRLp8 2:48); is this ~ by your boi? (p DG7FT1VRLp8 21:57)													
quality-of-life	elements such as checkpoints, reset doors, or dispensing pipes that make the level more enjoyable to play	: wow, they give you ~ stuff? that’s when you know it’s a good level (p BUCd0Lx4G18 17:00)													
Rays	Raysfire														
red coin extravaganza	a level with many pink coins, where it is required to obtain each one to proceed; usually a long level with many (small) challenges	: or it’s a ~ (p HomzYjonHjg 8:56); you always gotta throw in the ~ (p AD7Fx9TCPYM 19:44)													
refreshing level	a genre of level with many impulses, visuals and sound effects, requiring you to only do simple tasks such as ground pounding or holding right; often appears in the ‘popular levels’ tab, to the frustration of many														
ride	the Cloud or Koopa Clown Car that belongs to an enemy	;: I’m gonna take this guy’s ~; we’re gonna take your ~	to defeat the enemy inside to use its ride	;: I missed my ~ (p ViUIXNvZ6ig 4:54); time to wait for our ~ (p U0fbf4ItXg4 25:39)	to be late and miss a transport vehicle, usually on tracks, requiring you to either wait until it comes back or reset the room										
righties	going right in a split path	: ~? (p 10cutE1byWM 6:21)	> lefties												
ripperino	(rays) a death; a loss	: ~ (r D7xdB_HHFTM 11:41); that’s gonna be a ~ for your boi (r vaIgCa0AcxM 14:54); we’re gonna have to chalk this one up to a ~ (r b1i1PgV0IPU 10:14)	> -erino												
rookie mistake	a mistake that inexperienced players typically make	: he gave me the boost, ~ (r ktKOfcIWK5U 6:33); he got baited by the checkpoint, ~ (r IisH5nDAZts 3:33)													
round up	to give a level the better rating when in doubt between two	: I’ll ~ (p wDJ1osMUvP0 12:32) (p O_fnDCJ_Iow 18:50); it gets in-between a Meh and a Like, but we ~ (p HZaQ94mU6To 15:13)	> round down; Like; Meh; Boo												
round down	to give a level the worse rating when in doubt between two		> round up; Like; Meh; Boo												
sadge	sad	: that’s ~ (p amCQZlhG_EU 4:20); amen, brother, that’s a ~r (p d1YGQSy0XAs 14:41)	> madge												
scamazed	scammed	: I got ~ (p HCUCGAJ4eDY 8:56); actual scamaze (p cPPd4sjMlw0 0:57); oho! ~ (r 8QJZ2qEafnI 13:47)	> joshed; jebaited												
schmoney	the way to go	: that felt like the ~ (p r-2qhUbL1-M 8:26)	> strat												
schmove	moving impressively; (often) pressing different buttons in quick succession, such as quickly alternating between facing left and right	: Todd’s got the ~s; look at these ~s, though (p aykk1MWxpmo 3:08); they’re all ~ing, dude (r sQWvY0WitmU 7:10); the way to keep the Boos moving is to ~ (p ViUIXNvZ6ig 3:59); you see the ~s on this lady (r jGFt-r_Uxws 21:16); Toad with the absolute ~s on that guy (r iP0TFPXehuU 11:39); your boi’s out here making ~s (r ktKOfcIWK5U 15:38); Toad do be ~in’ (r heDOZqhGstU 5:46)	> schmovement; schmoveage												
schmoveage	impressive movement	: this Goomba’s got the ~ (p 5LFA2f7uMd0 12:48); that’s it right there, that’s the ~ (p amCQZlhG_EU 9:05); the ~ on this guy, man (p GB1KgH0iZGY 17:36); the ~ by your boi (p KlJDNTIOY8M 10:28)	> schmove; -age												
schmovement	> schmove	: ~ (r hg-8IUNw19g 3:11) (r TgvkyP6P0w4 13:38) (r U54Q5Uvz7UY 6:50)													
scuffed	messed up	: this is ~ (r UK0zzHK7ZsM 14:35) (r b1i1PgV0IPU 11:51); there’s two ways to cheese this room, so it’s kinda a little ~ (p AvGr3EAp0qI 27:12); this level is mad ~ (r SFoGw42eDIU 2:11); she got the ~ door exit, dude (r SFoGw42eDIU 13:27); that would’ve been a little ~ (p AD7Fx9TCPYM 19:28); I’ve never ~ something harder in my life (r IisH5nDAZts 5:57); the Japanese New Soup speedrun levels are like ninety-nine percent ~ (r KvI6_nBsR3E 10:37)	; to mess up	: I ~ it (r jEWb6B1oCPg 11:16); ~! (r SFoGw42eDIU 1:06)											
send	to commit to a choice, such as jumping as far as possible in an attempt to cheese a level, or to keep holding right in a versus level, hoping it will turn out advantageously	: pressin’ ~; full ~; ~ it; we’re gonna press ~ here (p ViUIXNvZ6ig 12:06); we’re ~ing it from the top row (p 4bh5npaJI9I 7:00); just ~ it (r SFoGw42eDIU 9:25)	> commit; cheese												
shambles	> in shambles	: this is ~ (r k9a_0Az_wUo 0:36)													
shoulder presses	repeatedly ducking while carrying an object with the SMB2 Mushroom, which makes it look like the character is doing reps	: I guess we’ll do some ~ while we wait (p 9NZvHSbzMZU 4:47)													
shud	Raysfire; originated from a misinterpretation of ‘rayshud’	: keep it together, ~ (r U54Q5Uvz7UY 12:52); huge moment here for Mr. ~ (r 7Rayd5yokRs 9:40); don’t choke it, Mr. ~! (r I5eCiy8nau0 0:52)													
sicknasty	fantastic	: this level is ~													
skedaddle	to make haste	: we just gotta ~ (p oDrwrxqLWvo 15:36)													
-skies	(modifier) changes a word to an uncountable noun or an adverb; for words with one syllable that end in a non-velar plosive, like ‘t’ or ‘p’	: it’s time to do some nut~ (p 8DeYjI8B5KY 0:15); top~; hop~; dub~; hopefully we’re done~ (r KvI6_nBsR3E 22:07)	> -ies; -age; action												
skull block	Lava Lift	> block													
smart	: they’re ~! (p yj2o9URvmdw 2:40); you’re ~! (p KlJDNTIOY8M 18:08)	said when a level creator added cheese prevention	> cheese												
snake block	Snake Block; generally disliked for its unpredictability and the fact that it’s required to constantly pay attention	: a lil ~ (p O_fnDCJ_Iow 4:53); shout-outs to the ~s (r KvI6_nBsR3E 4:10)	> block; Desert Bus												
sneaky	a tight manoeuvre	: a lil ~ there!	> schmove; finagle												
snipe	impressively hitting a target; executing a trick shot	: did you see that ~? (r heDOZqhGstU 9:44); we want to probably just try to ~ these (r KvI6_nBsR3E 1:31)	> airball; what a shot												
softlock	being stuck; a state in which making progress or dying is impossible, and where restarting or timing out is the only way out; widely considered bad design	> thumbnail shot													
Spike (green enemy)	Spike; to avoid confusion with ‘spike trap’	: it was the ball and the spike combo, but not ~ (r 3-SQkDPnf2M 4:57)													
spikevegeta	Spike; is the name of a speedrunner	: ~! (p kY3N3FwDE1M 4:41)	> spiky boi; Spike (green enemy)												
spiky boi	spike ball; Spike	> spikevegeta; Spike (green enemy)													
spin to win	spin jumping or twirling	: ~! (p i6f4xewhmKY 11:19); it’s teaching us to ~ (p U0fbf4ItXg4 25:15)													
spring drop	> springboard; drop														
springboard	Trampoline	; a sideways Trampoline in a note block above the player, which immediately gets acivated at the beginning of a speedrun level, to quickly get the player to max speed	: the ~ actually worked (p -AI9_ckc6TY 8:11)												
squad	> gang	; (rays) the fans	: this could be rough for the ~ (r 8QJZ2qEafnI 14:01); a little PB for the ~ (r bpeM_cqa1_4 21:15)	> fans											
stack	a stack of enemies	: the ~! (r iP0TFPXehuU 3:01) (p -AI9_ckc6TY 10:20); oh! death by ~ (r MYbfAD9IQXI 6:00)													
stage	(rays) level; course	: this looks like a good ~ right here, dude (r k9a_0Az_wUo 10:12); who created this monstrosity of a ~? (r KvI6_nBsR3E 21:47)													
staples guy	Hop-Chop														
step-back	said when a Koopaling or Bowser Jr. hops back to dodge an attack	: the ~ (r qRTH8N78YRE 11:02) (p rD_lxY6w3Go 3:39)	> James Harden; BJR; hops; juke												
Steve	> we’ll play Steve														
strat	strategy	: speedrun ~s	strategies to clear a level faster	> optimal											
streak	: Like ~; Boo ~; Meh ~	a number of consecutive levels that got the same rating in Endless mode													
stuck the landing	(mp) said when a player lands after the match has ended, which causes button inputs to be ignored, so the player stands still after landing	: ~! (p jEWb6B1oCPg 14:22)													
stunlock	being stunned continuously, unable to counteract	: this is the perfect ~ (p yj2o9URvmdw 2:46); he was just ~ed for ten years (r 6wYESz2lxSw 7:23)													
suited up	in a high power-up state, which allows the player to take many hits of damage before dying; usually with a tier-two power-up and protective gear such as a boot or a helmet	: I’m kinda ~, man, I got a shellmet and a Mushie and a 1-Up (p GB1KgH0iZGY 3:15); Mrs. Puff is actually OP in this game, she can murder you even if you’re fully ~ (p GB1KgH0iZGY 4:15)													
supidoran	Japanese for ‘speedrun’; occurs in level titles, which Panga reads out loud	> Japanese New Soup													
tactical	thought-out and advantageous; occasionally said after an accident, to pretend it was intended	> optimal; calculated	: ~! (p O7s4w4n9l8g 12:40); ~ throw; ~ bonk (p jUPAlhDr4jY 7:00); ~ damage-boost (p U0fbf4ItXg4 18:00); ~ d-boost (p kY3N3FwDE1M 5:19)	> throw; bonk; damage-boost											
take sb’s ride	> ride														
take the L	> L														
take the W	> W														
teabag	(mp) repeatedly ducking to mock or disrespect someone	: we hit him with the ~ (p S-7EBh6rmQc 14:10); she ~ed when she won (p DG7FT1VRLp8 8:30)													
